acronym,context,era,defined,name,description,alternatives
LAN,/,CE,1970,Local Area Network,"A computer network that interconnects computers within a limited area such as a residence, school, laboratory, university campus or office building.",
LANL,/science/physics,CE,1943,Los Alamos National Laboratory,"One of two laboratories in the United States where classified work towards the design of nuclear weapons has been undertaken. LANL is a United States Department of Energy national laboratory, managed and operated by Los Alamos National Security (LANS), located in Los Alamos, New Mexico. The laboratory is one of the largest science and technology institutions in the world. It conducts multidisciplinary research in fields such as national security, space exploration, renewable energy, medicine, nanotechnology, and supercomputing.",
LCD,/,CE,1968,Liquid Crystal Display,A flat-panel display or other electronically modulated optical device that uses the light-modulating properties of liquid crystals combined with polarizers.,
LED,/,CE,1962,Light Emitting Diode,"A semiconductor light source that emits light when current flows through it. Electrons in the semiconductor recombine with electron holes, releasing energy in the form of photons.",Lead Evaluator Designator
LHC,/science/physics,CE,2008,Large Hadron Collider,"The world's largest and highest-energy particle collider. It was built by the European Organization for Nuclear Research (CERN) between 1998 and 2008 in collaboration with over 10,000 scientists and hundreds of universities and laboratories, as well as more than 100 countries.",
Li-ion,/,CE,1991,Lithium-ion,A type of rechargeable battery. Lithium-ion batteries are commonly used for portable electronics and electric vehicles and are growing in popularity for military and aerospace applications.,
LLNL,/science/physics,CE,1952,Lawrence Livermore National Laboratory,"A federal research facility in Livermore, California, United States, founded by the University of California, Berkeley in 1952. It is primarily funded by the U.S. Department of Energy (DOE) and managed and operated by Lawrence Livermore National Security, LLC (LLNS), a partnership of the University of California, Bechtel, BWX Technologies, AECOM, and Battelle Memorial Institute in affiliation with the Texas A&M University System. The laboratory is known for its work in nuclear weapons, nonproliferation, military intelligence, defense, and homeland security.",
LOL,/,CE,1980,Laughing Out Loud,"A popular element of Internet slang, used to denote great amusement in chat and online conversation.",
LTE,/,CE,2008,Long-Term Evolution,"A standard for wireless broadband communication for mobile devices and data terminals, based on the GSM/EDGE and UMTS/HSPA technologies.",
M&A,/,CE,1990,Mergers and Acquisitions,"A general term that refers to the consolidation of companies or assets through various types of financial transactions, including mergers, acquisitions, consolidations, tender offers, purchase of assets and management acquisitions.",
ML,/,CE,1959,Machine Learning,"A field of computer science that uses statistical techniques to give computer systems the ability to 'learn' from data, without being explicitly programmed.",
MLB,/,CE,2000,Major League Baseball,"A professional baseball organization, the oldest of the four major professional sports leagues in the United States and Canada. A total of 30 teams play in the National League (NL) and American League (AL), with 15 teams in each league. The NL and AL were formed as separate legal entities in 1876 and 1901 respectively. After cooperating but remaining legally separate entities beginning in 1903, the leagues merged into a single organization led by the Commissioner of Baseball in 2000.",
MMS,/,CE,2002,Multimedia Messaging Service,A standard way to send messages that include multimedia content to and from a mobile phone over a cellular network.,
MP3,/,CE,1993,MPEG Audio Layer-3,"A coding format for digital audio which uses a form of lossy data compression. It is a common audio format for consumer audio streaming or storage, as well as a de facto standard of digital audio compression for the transfer and playback of music on most digital audio players.",
MP4,/,CE,2001,MPEG-4 Part 14,"A digital multimedia container format most commonly used to store video and audio, but it can also be used to store other data such as subtitles and still images.",
MPEG,/,CE,1993,Moving Picture Experts Group,An organization that develops standards for digital video and audio compression. It operates under the auspices of the International Organization for Standardization (ISO). The term also refers to the family of digital video compression standards and file formats developed by the group.,
MSC,/,CE,1986,Mobile Switching Center,"A component of 2G and 3G cellular networks that approves or rejects voice communications from one device to another and helps manage roaming. It uses the Home Location Register (HLR) or a Visitor Location Register (VLR) and the device?s SIM to authenticate the subscriber, determine whether they have permission to access the network, and ensure that the subscriber gets charged properly for any services they use.",
NABBP,/,CE,1857,National Association of Base Ball Players,"The first organization governing American baseball. The first convention of sixteen New York City area clubs in 1857 practically terminated the Knickerbocker era. The last convention, with hundreds of members represented only via state associations, provoked the establishment of separate professional and amateur associations in 1871.",Knickerbocker Era
NACA,/,CE,1915,National Advisory Committee for Aeronautics,"A U.S. federal agency founded to undertake, promote, and institutionalize aeronautical research. It was dissolved in 1958 and its assets and personnel were transferred to NASA.",
NAFTA,/,CE,1994,North American Free Trade Agreement,"An agreement signed by Canada, Mexico, and the United States, creating a trilateral trade bloc in North America.",
NAPBBP,/,CE,1871,National Association of Professional Base Ball Players,"The first professional baseball league. Founded in 1871 and continuing through the 1875 season, it succeeded and incorporated several professional clubs from the previous National Association of Base Ball Players (NABBP) of 1857-1870, sometimes called the amateur association.",the amateur association
NASA,/,CE,1958,National Aeronautics and Space Administration,"An independent agency of the U.S. federal government responsible for the civilian space program, as well as aeronautics and space research.",
NASCAR,/,CE,1948,National Association for Stock Car Auto Racing,An American auto racing sanctioning and operating company that is best known for stock car racing.,
NATO,/,CE,1949,North Atlantic Treaty Organization,"An intergovernmental military alliance between 29 North American and European countries. The organization implements the North Atlantic Treaty that was signed on 4 April 1949. NATO constitutes a system of collective defence whereby its independent member states agree to mutual defence in response to an attack by any external party. NATO's headquarters are located in Haren, Brussels, Belgium, while the headquarters of Allied Command Operations is near Mons, Belgium.",
NBA,/,CE,1946,National Basketball Association,A professional basketball league in North America composed of 30 teams. It is one of the major professional sports leagues in the United States and Canada and is recognized by the International Basketball Federation as the governing body for professional basketball worldwide.,
NFC,/,CE,2004,Near Field Communication,A set of communication protocols for communication between two electronic devices over a distance of 4 cm (1 1/2 in) or less.,
NFC,/,CE,1970,National Football Conference,"One of the two conferences of the National Football League (NFL), the highest professional level of American football in the United States. This conference and its counterpart, the American Football Conference (AFC), currently contain 16 teams each, making up the 32 teams of the NFL.",
NFL,/,CE,1920,National Football League,"A professional American football league consisting of 32 teams, divided equally between the National Football Conference (NFC) and the American Football Conference (AFC). The NFL is one of the four major professional sports leagues in North America, and the highest professional level of American football in the world.",
NHL,/,CE,1917,National Hockey League,"A professional ice hockey league in North America, currently comprising 31 teams: 24 in the United States and 7 in Canada. The NHL is considered to be the premier professional ice hockey league in the world, and one of the major professional sports leagues in the United States and Canada.",
NL,/,CE,1876,National League,"The older of two leagues constituting Major League Baseball (MLB) in the United States and Canada, and the world's oldest current professional team sports league. Founded on February 2, 1876, to replace the National Association of Professional Base Ball Players (NAPBBP) of 1871-1875, the NL is sometimes called the Senior Circuit, in contrast to MLB's other league, the American League, which was founded 25 years later.",Senior Circuit
NLP,/,CE,1950,Natural Language Processing,"A subfield of linguistics, computer science, and artificial intelligence concerned with the interactions between computers and human language.",
NoSQL,/,CE,2009,Not Only SQL,A type of database that provides a mechanism for storage and retrieval of data that is modeled in means other than the tabular relations used in relational databases.,
NSA,/,CE,1952,National Security Agency,"A national-level intelligence agency of the United States Department of Defense, under the authority of the Director of National Intelligence.",
OLED,/,CE,2007,Organic Light Emitting Diode,A light-emitting diode (LED) in which the emissive electroluminescent layer is a film of organic compound that emits light in response to an electric current.,
OPEC,/,CE,1960,Organization of Petroleum Exporting Countries,"An intergovernmental organization of 13 nations. Founded on 14 September 1960 in Baghdad by the first five members (Iran, Iraq, Kuwait, Saudi Arabia, and Venezuela), and headquartered since 1965 in Vienna, Austria.",
ORNL,/science/physics,CE,1943,Oak Ridge National Laboratory,"An American multiprogram science and technology national laboratory sponsored by the U.S. Department of Energy (DOE) and administered, managed, and operated by UT-Battelle as a federally funded research and development center (FFRDC) under a contract with the DOE. ORNL is the largest science and energy national laboratory in the Department of Energy system by acreage and by annual budget. ORNL is located in Oak Ridge, Tennessee, near Knoxville. ORNL's scientific programs focus on materials, neutron science, energy, high-performance computing, systems biology and national security.",
OS,/,CE,1960,Operating System,"Software that manages computer hardware, software resources, and provides various services for computer programs.",Oversize
OSHA,/,CE,1970,Occupational Safety and Health Administration,"An agency of the United States Department of Labor. Its mission is to ensure safe and healthful working conditions for working men and women by setting and enforcing standards and by providing training, outreach, education and assistance.",
P&L,/,CE,1900,Profit and Loss,"A financial statement that summarizes the revenues, costs and expenses incurred during a specific period of time, usually a fiscal quarter or year. These records provide information that shows the ability of a company to generate profit by increasing revenue and reducing costs. A P&L statement is also referred to as the income statement, statement of earnings, statement of operations, or statement of income.",
P/E,/,CE,1960,Price to Earnings Ratio,A valuation ratio of a company's current share price compared to its per-share earnings.,
P2P,/,CE,1999,Peer-to-Peer,A distributed application architecture that partitions tasks or workloads between peers.,
PaaS,/,CE,2010,Platform as a Service,"A category of cloud computing services that provides a platform allowing customers to develop, run, and manage applications without the complexity of building and maintaining the infrastructure typically associated with developing and launching an app.",
PDF,/,CE,1993,Portable Document Format,"A file format developed by Adobe in 1993 to present documents, including text formatting and images, in a manner independent of application software, hardware, and operating systems.",Probability Density Function
PNG,/,CE,1996,Portable Network Graphics,A raster-graphics file-format that supports lossless data compression.,
PP&E,/,CE,1970,"Property, Plant, and Equipment","A company's physical or fixed assets that include land, buildings, and machinery.",
PPC,/,CE,2000,Pay Per Click,"An internet advertising model used to drive traffic to websites, in which an advertiser pays a publisher when the ad is clicked.",
PR,/,CE,1900,Public Relations,The practice of deliberately managing the release and spread of information between an individual or an organization and the public.,
PS,/,CE,1982,Postscript,"A comment, note, or thought added after the letter is finished and signed.",
Q&A,/,CE,1980,Questions and Answers,A process or instance of questioning and answering.,
QLED,/,CE,2017,Quantum Dot Light Emitting Diode,A technology that uses quantum dots to enhance the performance in key picture quality areas.,
R&D,/,CE,1900,Research and Development,"Work directed towards the innovation, introduction, and improvement of products and processes.",
RAM,/,CE,1951,Random Access Memory,A type of computer memory that can be accessed randomly.,Ruminant Animal Model
RFID,/,CE,1973,Radio Frequency Identification,The use of radio waves to read and capture information stored on a tag attached to an object.,
RFP,/,CE,1980,Request For Proposal,A business document that announces and provides details about a project.,
RIKEN,/science/physics,CE,1917,Rikagaku Kenkyūsho,"A large research institute in Japan. Founded in 1917, it now has about 3,000 scientists on seven campuses across Japan, including the main site at Wakō, Saitama Prefecture, just outside Tokyo. Riken is a Designated National Research and Development Institute, and was formerly an Independent Administrative Institution. Approximately half of the funding for Riken comes from the Japanese government, and the rest is earned through research projects with private companies.",
RNA,/,CE,1960,Ribonucleic Acid,A nucleic acid present in all living cells. Its principal role is to act as a messenger carrying instructions from DNA.,
ROA,/,CE,1960,Return on Assets,An indicator of how profitable a company is relative to its total assets.,
ROAS,/,CE,2000,Return on Ad Spend,A marketing metric that measures the efficacy of a digital advertising campaign.,
ROE,/,CE,1960,Return on Equity,The amount of net income returned as a percentage of shareholders equity.,
ROI,/,CE,1970,Return on Investment,A performance measure used to evaluate the efficiency of an investment.,
RPM,/,CE,1900,Revolutions Per Minute,"A measure of the frequency of rotation, specifically the number of rotations around a fixed axis in one minute.",
RSS,/,CE,1999,Really Simple Syndication,"A type of web feed which allows users to access updates to online content in a standardized, computer-readable format.",Rashtriya Swayamsevak Sangh
RSVP,/,CE,1895,R?pondez S'il Vous Pla?t,A request for a response from the invited person or people.,Please Respond
RTFM,/,CE,1980,Read The Fucking Manual,"A phrase expressing frustration at someone's ignorance or ineptitude, often in tech or computing contexts.",
SaaS,/,CE,2000,Software as a Service,A software licensing and delivery model in which software is licensed on a subscription basis and is centrally hosted.,
SEC,/,CE,1934,Securities and Exchange Commission,A large independent agency of the United States federal government that was created following the stock market crash in the 1920s to protect investors and the national banking system.,
SEM,/,CE,2000,Search Engine Marketing,A form of Internet marketing that involves the promotion of websites by increasing their visibility in search engine results pages primarily through paid advertising.,
SEO,/,CE,1997,Search Engine Optimization,The process of maximizing the number of visitors to a particular website by ensuring that the site appears high on the list of results returned by a search engine.,
SIM,/,CE,1991,Subscriber Identity Module,"An integrated circuit that is intended to securely store the international mobile subscriber identity (IMSI) number and its related key, which are used to identify and authenticate subscribers on mobile telephony devices.",
SLAC,/science/physics,CE,1962,Stanford Linear Accelerator Center,"Originally named Stanford Linear Accelerator Center, is a United States Department of Energy National Laboratory operated by Stanford University under the programmatic direction of the U.S. Department of Energy Office of Science and located in Menlo Park, California.",
SMM,/,CE,2000,Social Media Marketing,The use of social media platforms and websites to promote a product or service.,
SMS,/,CE,1992,Short Message Service,"A text messaging service component of most telephone, Internet, and mobile device systems.",
SQL,/,CE,1974,Structured Query Language,A standard language for managing and manipulating databases.,Suspect Query List
SSD,/,CE,1991,Solid State Drive,A type of mass storage device similar to a hard disk drive (HDD). It supports reading and writing data and maintains stored data in a permanent state even without power.,
STEM,/,CE,2001,"Science, Technology, Engineering, and Mathematics",A term used to group together these academic disciplines. This term is typically used when addressing education policy and curriculum choices in schools to improve competitiveness in science and technology development.,
SVG,/,CE,2001,Scalable Vector Graphics,An XML-based vector image format for two-dimensional graphics with support for interactivity and animation.,
TBA,/,CE,1900,To Be Announced,A placeholder for information that is intended to be filled in once it becomes available.,
TBD,/,CE,1900,To Be Determined,A placeholder for information that is intended to be filled in once a decision has been made.,
TCP,/,CE,1974,Transmission Control Protocol,One of the main protocols in the Internet protocol suite. It originated in the initial network implementation in which it complemented the Internet Protocol (IP).,
TDMA,/,CE,1989,Time Division Multiple Access,A channel access method for shared medium networks. It allows several users to share the same frequency channel by dividing the signal into different time slots.,
TMSI,/,CE,1988,Temporary Mobile Subscriber Identity,A temporary identifier that is used in the mobile network. It is randomly generated and sent by the network to the mobile device. It is used instead of the IMSI to maintain user privacy on the air interface and to minimize the number of times that the IMSI is transmitted.,
TRIUMF,/science/physics,CE,1968,Tri-University Meson Facility,"Canada's national laboratory for particle and nuclear physics and accelerator-based science. Its headquarters are located on the south campus of the University of British Columbia in Vancouver, British Columbia. TRIUMF houses the world's largest cyclotron, a source of 520 MeV protons, which was named the world's largest operational cyclotron by the Guinness Book of World Records.",
UAE,/,CE,1971,United Arab Emirates,"A country in Western Asia at the northeast end of the Arabian Peninsula on the Persian Gulf, bordering Oman to the east and Saudi Arabia to the south and west, as well as sharing maritime borders with Qatar to the west and Iran to the north.",
UDP,/,CE,1980,User Datagram Protocol,One of the core members of the Internet protocol suite. The protocol was designed by David P. Reed in 1980 and formally defined in RFC 768.,
UFC,/,CE,1993,Ultimate Fighting Championship,"An American mixed martial arts promotion company based in Las Vegas, Nevada, that is owned and operated by parent company William Morris Endeavor.",
UI,/,CE,1980,User Interface,"The space where interactions between humans and machines occur. The goal of this interaction is to allow effective operation and control of the machine from the human end, while the machine simultaneously feeds back information that aids the operators' decision-making process.",
UK,/,CE,1707,United Kingdom,"A sovereign country located off the north-western coast of the European mainland. The United Kingdom includes the island of Great Britain, the north-eastern part of the island of Ireland, and many smaller islands.",
UN,/,CE,1945,United Nations,"An international organization formed in 1945 to increase political and economic cooperation among its member countries. It works on economic and social development programs, improving human rights and reducing global conflicts.",
UNESCO,/,CE,1945,"United Nations Educational, Scientific and Cultural Organization","A specialized agency of the United Nations aimed at promoting world peace and security through international cooperation in education, the sciences, and culture.",
UNIVAC,/,CE,1951,Universal Automatic Computer,"The first commercial computer produced in the United States. It was designed principally by J. Presper Eckert and John Mauchly, the inventors of the ENIAC.",
UPS,/,CE,1907,United Parcel Service,An American multinational package delivery and supply chain management company.,
URL,/,CE,1994,Uniform Resource Locator,The address of a resource on the Internet. A URL indicates the location of a resource as well as the protocol used to access it.,
USA,/,CE,1776,United States of America,"A country of 50 states covering a vast swath of North America, with Alaska in the northwest and Hawaii extending the nation?s presence into the Pacific Ocean.",
USB,/,CE,1996,Universal Serial Bus,"An industry standard that establishes specifications for cables, connectors and protocols for connection, communication and power supply between personal computers and their peripheral devices.",Underdeck Stowage Bay
USPS,/,CE,1971,United States Postal Service,An independent agency of the executive branch of the United States federal government responsible for providing postal service in the United States.,
USSR,/,CE,1922,Union of Soviet Socialist Republics,"A federal socialist state in Northern Eurasia that existed from 1922 to 1991. It was a state where the whole economy was planned, directed and controlled by the government.",
UX,/,CE,1990,User Experience,"A person's emotions and attitudes about using a particular product, system or service. It includes the practical, experiential, affective, meaningful and valuable aspects of human-computer interaction and product ownership.",
VGA,/,CE,1987,Video Graphics Array,A graphics standard for video display controller first introduced with the IBM PS/2 line of computers in 1987.,
VIP,/,CE,1930,Very Important Person,A person who is accorded special privileges due to their status or importance.,
VLR,/,CE,1986,Visitor Location Register,"A database of the subscribers who have roamed into the jurisdiction of the Mobile Switching Center (MSC) which it serves. Each base station in the network is served by exactly one VLR, hence a subscriber cannot be present in more than one VLR at a time.",
VoIP,/,CE,1995,Voice over IP,"A methodology and group of technologies for the delivery of voice communications and multimedia sessions over Internet Protocol (IP) networks, such as the Internet.",
VPN,/,CE,1996,Virtual Private Network,A virtual network built on top of existing physical networks that can provide a secure communication mechanism for data and other information transmitted between networks.,
VR,/,CE,1980,Virtual Reality,A simulated experience that can be similar to or completely different from the real world.,
vs.,/,CE,1900,Versus,"A term used to denote a contest or comparison, like in a sporting event or legal case.",
WAN,/,CE,1970,Wide Area Network,A telecommunications network that extends over a largegeographical area for the purpose of computer networking. Wide area networks are often established with leased telecommunication circuits.,
WEF,/,CE,1971,World Economic Forum,"An international organization for public-private cooperation. The Forum engages the foremost political, business, cultural and other leaders of society to shape global, regional and industry agendas. It is independent, impartial and not tied to any special interests. The Forum strives in all its efforts to demonstrate entrepreneurship in the global public interest while upholding the highest standards of governance.",
WHO,/,CE,1948,World Health Organization,A specialized agency of the United Nations responsible for international public health.,
Wi-Fi,/,CE,1997,Wi-Fi,"A family of wireless network protocols, based on the IEEE 802.11 family of standards, which are commonly used for local area networking of devices and Internet access.",Wireless Fidelity
WNBA,/,CE,1996,Women's National Basketball Association,"The Women's National Basketball Association (WNBA) is a professional basketball league in the United States. It is currently composed of twelve teams. The league was founded on April 24, 1996, as the women's counterpart to the National Basketball Association (NBA), and league play started in 1997. The regular season is played from May to September with the All Star game being played midway through the season in July and the WNBA Finals at the end of September until the beginning of October.",
WTO,/,CE,1995,World Trade Organization,An intergovernmental organization that is concerned with the regulation of international trade between nations.,
WYSIWYG,/,CE,1974,What You See Is What You Get,"A system in which content (text and graphics) displayed onscreen during editing appears in a form closely corresponding to its appearance when printed or displayed as a finished product, which might be a printed document, web page, or slide presentation.",
XHTML,/,CE,2000,eXtensible HyperText Markup Language,"A markup language that reformulates the three well-known tags of HTML 4.01, for example, <b> as <strong>, <i> as <em> and <tt> as <code>.",
XML,/,CE,1998,eXtensible Markup Language,A markup language that defines a set of rules for encoding documents in a format that is both human-readable and machine-readable.,
XML,/,CE,1998,eXtensible Markup Language,A markup language that defines a set of rules for encoding documents in a format that is both human-readable and machine-readable.,
XOR,/,CE,1955,Exclusive OR,"A logical operation that outputs true only when inputs differ (one is true, the other is false). It is symbolized by the prefix operator J and by the infix operators XOR, EOR, EXOR, ⊻, ⩒, ⩛, ⊕, ↮, and ≢.",
XSLT,/,CE,1999,eXtensible Stylesheet Language Transformations,"A language for transforming XML documents into other XML documents, or other formats such as HTML for web pages, plain text or XSL Formatting Objects, which may subsequently be converted to other formats, such as PDF, PostScript and PNG.",
Y2K,/,CE,1999,Year 2000,A problem for both digital (computer-related) and non-digital documentation and data storage situations which resulted from the practice of abbreviating a four-digit year to two digits.,
YAML,/,CE,2001,YAML Ain't Markup Language,A human-readable data-serialization language. It is commonly used for configuration files and in applications where data is being stored or transmitted.,
YMMV,/,CE,1990,Your Mileage May Vary,"A disclaimer stating that one's opinion is a subjective measure, rather than an objective fact, and thus that different people may reach different conclusions despite having the same evidence.",
ZFS,/,CE,2005,Zettabyte File System,"A combined file system and logical volume manager designed by Sun Microsystems. The features of ZFS include protection against data corruption, support for high storage capacities, efficient data compression, integration of the concepts of filesystem and volume management, snapshots and copy-on-write clones, continuous integrity checking and automatic repair, RAID-Z and native NFSv4 ACLs.",
ZIP,/,CE,1989,Zipping,A file format and a software application used for compressing and archiving files. It was created in 1989 by Phil Katz.,Zone Information Protocol
ZK,/,CE,2005,ZooKeeper,"A centralized service for maintaining configuration information, naming, providing distributed synchronization, and providing group services.",
ZPL,/,CE,1982,Zebra Programming Language,"A page description language from Zebra Technologies used primarily for labeling applications. The original ZPL was advanced to ZPL II, but a full compatibility with the older version is not given.",
